source	target	relation	source_group	target_group	reason	file
ir_adabulian	ir_alutan	kindred	ir_nilotic_group_g	ir_nilotic_group_g	same_group_kindred	ir_nilotic_group_g.txt
ir_adabulian	ir_lower_nubian	positive	ir_nilotic_group_g	ir_meroitic_group_g	group_positive	ir_nilotic_group_g.txt
ir_adabulian	ir_zankorian	kindred	ir_nilotic_group_g	ir_nilotic_group_g	same_group_kindred	ir_nilotic_group_g.txt
ir_adite	ir_aksumite	positive	ir_south_arabian_g	ir_aksumite_group_g	group_positive	ir_south_arabian_g.txt
ir_adite	ir_atarantian	positive	ir_south_arabian_g	ir_fezzani_g	group_positive	ir_south_arabian_g.txt
ir_adite	ir_gerrhan	positive	ir_south_arabian_g	ir_south_levantine_g	group_positive	ir_south_arabian_g.txt
ir_adite	ir_hadhrami	kindred	ir_south_arabian_g	ir_south_arabian_g	same_group_kindred	ir_south_arabian_g.txt
ir_adite	ir_sheban	kindred	ir_south_arabian_g	ir_south_arabian_g	same_group_kindred	ir_south_arabian_g.txt
ir_aduatacian	ir_allobrogian	positive	ir_belgae_group_g	ir_gallic_g	group_positive	ir_belgae_group_g.txt
ir_aduatacian	ir_anglian	positive	ir_belgae_group_g	ir_germanic_g	group_positive	ir_belgae_group_g.txt
ir_aduatacian	ir_belgae	kindred	ir_belgae_group_g	ir_belgae_group_g	same_group_kindred	ir_belgae_group_g.txt
ir_aduatacian	ir_brigantic	positive	ir_belgae_group_g	ir_britannic_g	group_positive	ir_belgae_group_g.txt
ir_aduatacian	ir_veliocassian	kindred	ir_belgae_group_g	ir_belgae_group_g	same_group_kindred	ir_belgae_group_g.txt
ir_aegean	ir_achaean	kindred	ir_hellenic_g	ir_hellenic_g	same_group_kindred	ir_hellenic_g.txt
ir_aegean	ir_aeolian	kindred	ir_hellenic_g	ir_hellenic_g	same_group_kindred	ir_hellenic_g.txt
ir_aegean	ir_cabalian	positive	ir_hellenic_g	ir_anatolian_g	group_positive	ir_hellenic_g.txt
ir_aegean	ir_catari	positive	ir_hellenic_g	ir_illyrian_group_g	group_positive	ir_hellenic_g.txt
ir_aegean	ir_etruscan	positive	ir_hellenic_g	ir_latin_g	group_positive	ir_hellenic_g.txt
ir_aegean	ir_mariandynian	positive	ir_hellenic_g	ir_thrace_group_g	group_positive	ir_hellenic_g.txt
ir_aeolian	ir_aegean	kindred	ir_hellenic_g	ir_hellenic_g	same_group_kindred	ir_hellenic_g.txt
ir_aeolian	ir_aetolian	kindred	ir_hellenic_g	ir_hellenic_g	same_group_kindred	ir_hellenic_g.txt
ir_aeolian	ir_cappadocian	positive	ir_hellenic_g	ir_anatolian_g	group_positive	ir_hellenic_g.txt
ir_aeolian	ir_dardanian	positive	ir_hellenic_g	ir_illyrian_group_g	group_positive	ir_hellenic_g.txt
ir_aeolian	ir_histrian	positive	ir_hellenic_g	ir_latin_g	group_positive	ir_hellenic_g.txt
ir_aeolian	ir_moesi	positive	ir_hellenic_g	ir_thrace_group_g	group_positive	ir_hellenic_g.txt
ir_aestian	ir_androphagian	positive	ir_baltic_g	ir_finnic_group_g	group_positive	ir_baltic_g.txt
ir_aestian	ir_anglian	positive	ir_baltic_g	ir_germanic_g	group_positive	ir_baltic_g.txt
ir_aestian	ir_budinian	kindred	ir_baltic_g	ir_baltic_g	same_group_kindred	ir_baltic_g.txt
ir_aestian	ir_corsian	positive	ir_baltic_g	ir_proto_european_g	group_positive	ir_baltic_g.txt
ir_aestian	ir_sporic	kindred	ir_baltic_g	ir_baltic_g	same_group_kindred	ir_baltic_g.txt
ir_aetolian	ir_aeolian	kindred	ir_hellenic_g	ir_hellenic_g	same_group_kindred	ir_hellenic_g.txt
ir_aetolian	ir_arcadian	kindred	ir_hellenic_g	ir_hellenic_g	same_group_kindred	ir_hellenic_g.txt
ir_aetolian	ir_cataonian	positive	ir_hellenic_g	ir_anatolian_g	group_positive	ir_hellenic_g.txt
ir_aetolian	ir_deraemestian	positive	ir_hellenic_g	ir_illyrian_group_g	group_positive	ir_hellenic_g.txt
ir_aetolian	ir_ligurian	positive	ir_hellenic_g	ir_latin_g	group_positive	ir_hellenic_g.txt
ir_aetolian	ir_odrysi	positive	ir_hellenic_g	ir_thrace_group_g	group_positive	ir_hellenic_g.txt
ir_agathyrsian	ir_alani	positive	ir_scythian_east_g	ir_scythia_g	group_positive	ir_scythian_east_g.txt
ir_agathyrsian	ir_bactrian	positive	ir_scythian_east_g	ir_bactrian_g	group_positive	ir_scythian_east_g.txt
ir_agathyrsian	ir_cimmerian	kindred	ir_scythian_east_g	ir_scythian_east_g	same_group_kindred	ir_scythian_east_g.txt
ir_agathyrsian	ir_corsian	positive	ir_scythian_east_g	ir_proto_european_g	group_positive	ir_scythian_east_g.txt
ir_agathyrsian	ir_thyssagetaen	kindred	ir_scythian_east_g	ir_scythian_east_g	same_group_kindred	ir_scythian_east_g.txt
ir_aksumite	ir_adabulian	positive	ir_aksumite_group_g	ir_nilotic_group_g	group_positive	ir_aksumite_group_g.txt
ir_aksumite	ir_adite	positive	ir_aksumite_group_g	ir_south_arabian_g	group_positive	ir_aksumite_group_g.txt
ir_aksumite	ir_athagaun	kindred	ir_aksumite_group_g	ir_aksumite_group_g	same_group_kindred	ir_aksumite_group_g.txt
ir_aksumite	ir_lower_nubian	positive	ir_aksumite_group_g	ir_meroitic_group_g	group_positive	ir_aksumite_group_g.txt
ir_aksumite	ir_puntic	kindred	ir_aksumite_group_g	ir_aksumite_group_g	same_group_kindred	ir_aksumite_group_g.txt
ir_alani	ir_agathyrsian	positive	ir_scythia_g	ir_scythian_east_g	group_positive	ir_scythia_g.txt
ir_alani	ir_amardian	positive	ir_scythia_g	ir_persia_g	group_positive	ir_scythia_g.txt
ir_alani	ir_corsian	positive	ir_scythia_g	ir_proto_european_g	group_positive	ir_scythia_g.txt
ir_alani	ir_derbiccan	kindred	ir_scythia_g	ir_scythia_g	same_group_kindred	ir_scythia_g.txt
ir_alani	ir_sakan	kindred	ir_scythia_g	ir_scythia_g	same_group_kindred	ir_scythia_g.txt
ir_albanian	ir_abasgoi	kindred	ir_caucasian_g	ir_caucasian_g	same_group_kindred	ir_caucasian_g.txt
ir_albanian	ir_cabalian	positive	ir_caucasian_g	ir_anatolian_g	group_positive	ir_caucasian_g.txt
ir_albanian	ir_caspian	kindred	ir_caucasian_g	ir_caucasian_g	same_group_kindred	ir_caucasian_g.txt
ir_allobrogian	ir_aduatacian	positive	ir_gallic_g	ir_belgae_group_g	group_positive	ir_gallic_g.txt
ir_allobrogian	ir_aremorican	kindred	ir_gallic_g	ir_gallic_g	same_group_kindred	ir_gallic_g.txt
ir_allobrogian	ir_asturian	positive	ir_gallic_g	ir_celt_iberia_g	group_positive	ir_gallic_g.txt
ir_allobrogian	ir_brigantic	positive	ir_gallic_g	ir_britannic_g	group_positive	ir_gallic_g.txt
ir_allobrogian	ir_hibernian	positive	ir_gallic_g	ir_gaelic_g	group_positive	ir_gallic_g.txt
ir_allobrogian	ir_volcae	kindred	ir_gallic_g	ir_gallic_g	same_group_kindred	ir_gallic_g.txt
ir_alupan	ir_andhran	kindred	ir_indian_g	ir_indian_g	same_group_kindred	ir_indian_g.txt
ir_alupan	ir_atavi	positive	ir_indian_g	ir_pracyan_g	group_positive	ir_indian_g.txt
ir_alupan	ir_avanti	positive	ir_indian_g	ir_aryan_g	group_positive	ir_indian_g.txt
ir_alupan	ir_pyu	positive	ir_indian_g	ir_tibetan_g	group_positive	ir_indian_g.txt
ir_alupan	ir_telugu	kindred	ir_indian_g	ir_indian_g	same_group_kindred	ir_indian_g.txt
ir_alutan	ir_adabulian	kindred	ir_nilotic_group_g	ir_nilotic_group_g	same_group_kindred	ir_nilotic_group_g.txt
ir_alutan	ir_athagaun	positive	ir_nilotic_group_g	ir_aksumite_group_g	group_positive	ir_nilotic_group_g.txt
ir_alutan	ir_boran	kindred	ir_nilotic_group_g	ir_nilotic_group_g	same_group_kindred	ir_nilotic_group_g.txt
ir_alutan	ir_meroitic	positive	ir_nilotic_group_g	ir_meroitic_group_g	group_positive	ir_nilotic_group_g.txt
ir_amardian	ir_alani	positive	ir_persia_g	ir_scythia_g	group_positive	ir_persia_g.txt
ir_amardian	ir_armenian	positive	ir_persia_g	ir_anatolian_g	group_positive	ir_persia_g.txt
ir_amardian	ir_avanti	positive	ir_persia_g	ir_aryan_g	group_positive	ir_persia_g.txt
ir_amardian	ir_bactrian	positive	ir_persia_g	ir_bactrian_g	group_positive	ir_persia_g.txt
ir_amardian	ir_cadusian	kindred	ir_persia_g	ir_persia_g	same_group_kindred	ir_persia_g.txt
ir_amardian	ir_uxian	kindred	ir_persia_g	ir_persia_g	same_group_kindred	ir_persia_g.txt
ir_andhran	ir_alupan	kindred	ir_indian_g	ir_indian_g	same_group_kindred	ir_indian_g.txt
ir_andhran	ir_assaka	kindred	ir_indian_g	ir_indian_g	same_group_kindred	ir_indian_g.txt
ir_andhran	ir_bangli	positive	ir_indian_g	ir_pracyan_g	group_positive	ir_indian_g.txt
ir_andhran	ir_cedi	positive	ir_indian_g	ir_aryan_g	group_positive	ir_indian_g.txt
ir_andhran	ir_sumpa	positive	ir_indian_g	ir_tibetan_g	group_positive	ir_indian_g.txt
ir_androphagian	ir_aestian	positive	ir_finnic_group_g	ir_baltic_g	group_positive	ir_finnic_group_g.txt
ir_androphagian	ir_anglian	positive	ir_finnic_group_g	ir_germanic_g	group_positive	ir_finnic_group_g.txt
ir_androphagian	ir_fennic	kindred	ir_finnic_group_g	ir_finnic_group_g	same_group_kindred	ir_finnic_group_g.txt
ir_androphagian	ir_volgaic	kindred	ir_finnic_group_g	ir_finnic_group_g	same_group_kindred	ir_finnic_group_g.txt
ir_anglian	ir_aduatacian	positive	ir_germanic_g	ir_belgae_group_g	group_positive	ir_germanic_g.txt
ir_anglian	ir_aestian	positive	ir_germanic_g	ir_baltic_g	group_positive	ir_germanic_g.txt
ir_anglian	ir_androphagian	positive	ir_germanic_g	ir_finnic_group_g	group_positive	ir_germanic_g.txt
ir_anglian	ir_bastarnae	kindred	ir_germanic_g	ir_germanic_g	same_group_kindred	ir_germanic_g.txt
ir_anglian	ir_corsian	positive	ir_germanic_g	ir_proto_european_g	group_positive	ir_germanic_g.txt
ir_anglian	ir_vandal	kindred	ir_germanic_g	ir_germanic_g	same_group_kindred	ir_germanic_g.txt
ir_aquitani	ir_abannaean	positive	ir_iberia_g	ir_numidian_g	group_positive	ir_iberia_g.txt
ir_aquitani	ir_asturian	positive	ir_iberia_g	ir_celt_iberia_g	group_positive	ir_iberia_g.txt
ir_aquitani	ir_ausetanian	kindred	ir_iberia_g	ir_iberia_g	same_group_kindred	ir_iberia_g.txt
ir_aquitani	ir_bruttian	positive	ir_iberia_g	ir_latin_g	group_positive	ir_iberia_g.txt
ir_aquitani	ir_vasconian	kindred	ir_iberia_g	ir_iberia_g	same_group_kindred	ir_iberia_g.txt
ir_aramaic	ir_assyrian	kindred	ir_east_levantine_g	ir_east_levantine_g	same_group_kindred	ir_east_levantine_g.txt
ir_aramaic	ir_cardukoi	kindred	ir_east_levantine_g	ir_east_levantine_g	same_group_kindred	ir_east_levantine_g.txt
ir_aramaic	ir_carthaginian	positive	ir_east_levantine_g	ir_west_levantine_g	group_positive	ir_east_levantine_g.txt
ir_aramaic	ir_gerrhan	positive	ir_east_levantine_g	ir_south_levantine_g	group_positive	ir_east_levantine_g.txt
ir_aramaic	ir_hebrew	positive	ir_east_levantine_g	ir_west_levantine_g	pair_override	ir_east_levantine_g.txt
ir_aramaic	ir_jaintia	positive	ir_east_levantine_g	ir_pu_g	group_positive	ir_east_levantine_g.txt
ir_arcadian	ir_aetolian	kindred	ir_hellenic_g	ir_hellenic_g	same_group_kindred	ir_hellenic_g.txt
ir_arcadian	ir_argolian	kindred	ir_hellenic_g	ir_hellenic_g	same_group_kindred	ir_hellenic_g.txt
ir_arcadian	ir_cilician	positive	ir_hellenic_g	ir_anatolian_g	group_positive	ir_hellenic_g.txt
ir_arcadian	ir_deurian	positive	ir_hellenic_g	ir_illyrian_group_g	group_positive	ir_hellenic_g.txt
ir_arcadian	ir_lucanian	positive	ir_hellenic_g	ir_latin_g	group_positive	ir_hellenic_g.txt
ir_arcadian	ir_triballoi	positive	ir_hellenic_g	ir_thrace_group_g	group_positive	ir_hellenic_g.txt
ir_aremorican	ir_allobrogian	kindred	ir_gallic_g	ir_gallic_g	same_group_kindred	ir_gallic_g.txt
ir_aremorican	ir_arverni	kindred	ir_gallic_g	ir_gallic_g	same_group_kindred	ir_gallic_g.txt
ir_aremorican	ir_autrigonian	positive	ir_gallic_g	ir_celt_iberia_g	group_positive	ir_gallic_g.txt
ir_aremorican	ir_belgae	positive	ir_gallic_g	ir_belgae_group_g	group_positive	ir_gallic_g.txt
ir_aremorican	ir_britannic	positive	ir_gallic_g	ir_britannic_g	group_positive	ir_gallic_g.txt
ir_aremorican	ir_manavian	positive	ir_gallic_g	ir_gaelic_g	group_positive	ir_gallic_g.txt
ir_argolian	ir_arcadian	kindred	ir_hellenic_g	ir_hellenic_g	same_group_kindred	ir_hellenic_g.txt
ir_argolian	ir_athenian	kindred	ir_hellenic_g	ir_hellenic_g	same_group_kindred	ir_hellenic_g.txt
ir_argolian	ir_bithynian	positive	ir_hellenic_g	ir_thrace_group_g	group_positive	ir_hellenic_g.txt
ir_argolian	ir_greco_illyrian	positive	ir_hellenic_g	ir_illyrian_group_g	group_positive	ir_hellenic_g.txt
ir_argolian	ir_isaurian	positive	ir_hellenic_g	ir_anatolian_g	group_positive	ir_hellenic_g.txt
ir_argolian	ir_rhaetian	positive	ir_hellenic_g	ir_latin_g	group_positive	ir_hellenic_g.txt
ir_armenian	ir_abasgoi	positive	ir_anatolian_g	ir_caucasian_g	group_positive	ir_anatolian_g.txt
ir_armenian	ir_achaean	positive	ir_anatolian_g	ir_hellenic_g	group_positive	ir_anatolian_g.txt
ir_armenian	ir_amardian	positive	ir_anatolian_g	ir_persia_g	group_positive	ir_anatolian_g.txt
ir_armenian	ir_cabalian	kindred	ir_anatolian_g	ir_anatolian_g	same_group_kindred	ir_anatolian_g.txt
ir_armenian	ir_pisidian	kindred	ir_anatolian_g	ir_anatolian_g	same_group_kindred	ir_anatolian_g.txt
ir_arverni	ir_aremorican	kindred	ir_gallic_g	ir_gallic_g	same_group_kindred	ir_gallic_g.txt
ir_arverni	ir_aulercian	kindred	ir_gallic_g	ir_gallic_g	same_group_kindred	ir_gallic_g.txt
ir_arverni	ir_bellovacian	positive	ir_gallic_g	ir_belgae_group_g	group_positive	ir_gallic_g.txt
ir_arverni	ir_caledonian	positive	ir_gallic_g	ir_britannic_g	group_positive	ir_gallic_g.txt
ir_arverni	ir_callaecian	positive	ir_gallic_g	ir_celt_iberia_g	group_positive	ir_gallic_g.txt
ir_arverni	ir_hibernian	positive	ir_gallic_g	ir_gaelic_g	group_positive	ir_gallic_g.txt
ir_assaka	ir_andhran	kindred	ir_indian_g	ir_indian_g	same_group_kindred	ir_indian_g.txt
ir_assaka	ir_cheran	kindred	ir_indian_g	ir_indian_g	same_group_kindred	ir_indian_g.txt
ir_assaka	ir_dardic	positive	ir_indian_g	ir_aryan_g	group_positive	ir_indian_g.txt
ir_assaka	ir_himalayan	positive	ir_indian_g	ir_pracyan_g	group_positive	ir_indian_g.txt
ir_assaka	ir_tsang	positive	ir_indian_g	ir_tibetan_g	group_positive	ir_indian_g.txt
ir_assyrian	ir_aramaic	kindred	ir_east_levantine_g	ir_east_levantine_g	same_group_kindred	ir_east_levantine_g.txt
ir_assyrian	ir_babylonian	kindred	ir_east_levantine_g	ir_east_levantine_g	same_group_kindred	ir_east_levantine_g.txt
ir_assyrian	ir_hebrew	positive	ir_east_levantine_g	ir_west_levantine_g	group_positive	ir_east_levantine_g.txt
ir_assyrian	ir_makan	positive	ir_east_levantine_g	ir_south_levantine_g	group_positive	ir_east_levantine_g.txt
ir_assyrian	ir_mon	positive	ir_east_levantine_g	ir_pu_g	group_positive	ir_east_levantine_g.txt
ir_asturian	ir_allobrogian	positive	ir_celt_iberia_g	ir_gallic_g	group_positive	ir_celt_iberia_g.txt
ir_asturian	ir_aquitani	positive	ir_celt_iberia_g	ir_iberia_g	group_positive	ir_celt_iberia_g.txt
ir_asturian	ir_autrigonian	kindred	ir_celt_iberia_g	ir_celt_iberia_g	same_group_kindred	ir_celt_iberia_g.txt
ir_asturian	ir_bruttian	positive	ir_celt_iberia_g	ir_latin_g	group_positive	ir_celt_iberia_g.txt
ir_asturian	ir_galatian	positive	ir_celt_iberia_g	ir_celto_pannonian_group_g	group_positive	ir_celt_iberia_g.txt
ir_asturian	ir_vettonian	kindred	ir_celt_iberia_g	ir_celt_iberia_g	same_group_kindred	ir_celt_iberia_g.txt
ir_atarantian	ir_abannaean	positive	ir_fezzani_g	ir_numidian_g	group_positive	ir_fezzani_g.txt
ir_atarantian	ir_adite	positive	ir_fezzani_g	ir_south_arabian_g	group_positive	ir_fezzani_g.txt
ir_atarantian	ir_atlantean	kindred	ir_fezzani_g	ir_fezzani_g	same_group_kindred	ir_fezzani_g.txt
ir_atarantian	ir_egyptian	positive	ir_fezzani_g	ir_north_african_g	group_positive	ir_fezzani_g.txt
ir_atarantian	ir_psyllic	kindred	ir_fezzani_g	ir_fezzani_g	same_group_kindred	ir_fezzani_g.txt
ir_atavi	ir_alupan	positive	ir_pracyan_g	ir_indian_g	group_positive	ir_pracyan_g.txt
ir_atavi	ir_avanti	positive	ir_pracyan_g	ir_aryan_g	group_positive	ir_pracyan_g.txt
ir_atavi	ir_bangli	kindred	ir_pracyan_g	ir_pracyan_g	same_group_kindred	ir_pracyan_g.txt
ir_atavi	ir_pyu	positive	ir_pracyan_g	ir_tibetan_g	group_positive	ir_pracyan_g.txt
ir_atavi	ir_qin	positive	ir_pracyan_g	ir_chinese_g	group_positive	ir_pracyan_g.txt
ir_atavi	ir_vrji	kindred	ir_pracyan_g	ir_pracyan_g	same_group_kindred	ir_pracyan_g.txt
ir_athagaun	ir_aksumite	kindred	ir_aksumite_group_g	ir_aksumite_group_g	same_group_kindred	ir_aksumite_group_g.txt
ir_athagaun	ir_alutan	positive	ir_aksumite_group_g	ir_nilotic_group_g	group_positive	ir_aksumite_group_g.txt
ir_athagaun	ir_avalitian	kindred	ir_aksumite_group_g	ir_aksumite_group_g	same_group_kindred	ir_aksumite_group_g.txt
ir_athagaun	ir_hadhrami	positive	ir_aksumite_group_g	ir_south_arabian_g	group_positive	ir_aksumite_group_g.txt
ir_athagaun	ir_meroitic	positive	ir_aksumite_group_g	ir_meroitic_group_g	group_positive	ir_aksumite_group_g.txt
ir_athenian	ir_argolian	kindred	ir_hellenic_g	ir_hellenic_g	same_group_kindred	ir_hellenic_g.txt
ir_athenian	ir_boeotian	kindred	ir_hellenic_g	ir_hellenic_g	same_group_kindred	ir_hellenic_g.txt
ir_athenian	ir_etruscan	positive	ir_hellenic_g	ir_latin_g	pair_override	ir_hellenic_g.txt
ir_athenian	ir_iapodian	positive	ir_hellenic_g	ir_illyrian_group_g	group_positive	ir_hellenic_g.txt
ir_athenian	ir_kennataian	positive	ir_hellenic_g	ir_anatolian_g	group_positive	ir_hellenic_g.txt
ir_athenian	ir_mariandynian	positive	ir_hellenic_g	ir_thrace_group_g	group_positive	ir_hellenic_g.txt
ir_athenian	ir_roman	positive	ir_hellenic_g	ir_latin_g	pair_override	ir_hellenic_g.txt
ir_atlantean	ir_atarantian	kindred	ir_fezzani_g	ir_fezzani_g	same_group_kindred	ir_fezzani_g.txt
ir_atlantean	ir_autolalean	positive	ir_fezzani_g	ir_numidian_g	group_positive	ir_fezzani_g.txt
ir_atlantean	ir_berber	kindred	ir_fezzani_g	ir_fezzani_g	same_group_kindred	ir_fezzani_g.txt
ir_atlantean	ir_hadhrami	positive	ir_fezzani_g	ir_south_arabian_g	group_positive	ir_fezzani_g.txt
ir_atlantean	ir_middle_egyptian	positive	ir_fezzani_g	ir_north_african_g	group_positive	ir_fezzani_g.txt
ir_aulercian	ir_arverni	kindred	ir_gallic_g	ir_gallic_g	same_group_kindred	ir_gallic_g.txt
ir_aulercian	ir_biturigan	kindred	ir_gallic_g	ir_gallic_g	same_group_kindred	ir_gallic_g.txt
ir_aulercian	ir_cantabrian	positive	ir_gallic_g	ir_celt_iberia_g	group_positive	ir_gallic_g.txt
ir_aulercian	ir_cantian	positive	ir_gallic_g	ir_britannic_g	group_positive	ir_gallic_g.txt
ir_aulercian	ir_eburonian	positive	ir_gallic_g	ir_belgae_group_g	group_positive	ir_gallic_g.txt
ir_aulercian	ir_manavian	positive	ir_gallic_g	ir_gaelic_g	group_positive	ir_gallic_g.txt
ir_ausetanian	ir_aquitani	kindred	ir_iberia_g	ir_iberia_g	same_group_kindred	ir_iberia_g.txt
ir_ausetanian	ir_autolalean	positive	ir_iberia_g	ir_numidian_g	group_positive	ir_iberia_g.txt
ir_ausetanian	ir_autrigonian	positive	ir_iberia_g	ir_celt_iberia_g	group_positive	ir_iberia_g.txt
ir_ausetanian	ir_bastetanian	kindred	ir_iberia_g	ir_iberia_g	same_group_kindred	ir_iberia_g.txt
ir_ausetanian	ir_etruscan	positive	ir_iberia_g	ir_latin_g	group_positive	ir_iberia_g.txt
ir_autolalean	ir_abannaean	kindred	ir_numidian_g	ir_numidian_g	same_group_kindred	ir_numidian_g.txt
ir_autolalean	ir_atlantean	positive	ir_numidian_g	ir_fezzani_g	group_positive	ir_numidian_g.txt
ir_autolalean	ir_ausetanian	positive	ir_numidian_g	ir_iberia_g	group_positive	ir_numidian_g.txt
ir_autolalean	ir_canarian	kindred	ir_numidian_g	ir_numidian_g	same_group_kindred	ir_numidian_g.txt
ir_autolalean	ir_middle_egyptian	positive	ir_numidian_g	ir_north_african_g	group_positive	ir_numidian_g.txt
ir_autolalean	ir_mon	positive	ir_numidian_g	ir_pu_g	group_positive	ir_numidian_g.txt
ir_autrigonian	ir_aremorican	positive	ir_celt_iberia_g	ir_gallic_g	group_positive	ir_celt_iberia_g.txt
ir_autrigonian	ir_asturian	kindred	ir_celt_iberia_g	ir_celt_iberia_g	same_group_kindred	ir_celt_iberia_g.txt
ir_autrigonian	ir_ausetanian	positive	ir_celt_iberia_g	ir_iberia_g	group_positive	ir_celt_iberia_g.txt
ir_autrigonian	ir_callaecian	kindred	ir_celt_iberia_g	ir_celt_iberia_g	same_group_kindred	ir_celt_iberia_g.txt
ir_autrigonian	ir_etruscan	positive	ir_celt_iberia_g	ir_latin_g	group_positive	ir_celt_iberia_g.txt
ir_autrigonian	ir_tylian	positive	ir_celt_iberia_g	ir_celto_pannonian_group_g	group_positive	ir_celt_iberia_g.txt
ir_avalitian	ir_athagaun	kindred	ir_aksumite_group_g	ir_aksumite_group_g	same_group_kindred	ir_aksumite_group_g.txt
ir_avalitian	ir_berberian	kindred	ir_aksumite_group_g	ir_aksumite_group_g	same_group_kindred	ir_aksumite_group_g.txt
ir_avalitian	ir_boran	positive	ir_aksumite_group_g	ir_nilotic_group_g	group_positive	ir_aksumite_group_g.txt
ir_avalitian	ir_himjar	positive	ir_aksumite_group_g	ir_south_arabian_g	group_positive	ir_aksumite_group_g.txt
ir_avalitian	ir_napatan	positive	ir_aksumite_group_g	ir_meroitic_group_g	group_positive	ir_aksumite_group_g.txt
ir_avanti	ir_alupan	positive	ir_aryan_g	ir_indian_g	group_positive	ir_aryan_g.txt
ir_avanti	ir_amardian	positive	ir_aryan_g	ir_persia_g	group_positive	ir_aryan_g.txt
ir_avanti	ir_atavi	positive	ir_aryan_g	ir_pracyan_g	group_positive	ir_aryan_g.txt
ir_avanti	ir_bactrian	positive	ir_aryan_g	ir_bactrian_g	group_positive	ir_aryan_g.txt
ir_avanti	ir_cedi	kindred	ir_aryan_g	ir_aryan_g	same_group_kindred	ir_aryan_g.txt
ir_avanti	ir_vidharban	kindred	ir_aryan_g	ir_aryan_g	same_group_kindred	ir_aryan_g.txt
ir_babylonian	ir_assyrian	kindred	ir_east_levantine_g	ir_east_levantine_g	same_group_kindred	ir_east_levantine_g.txt
ir_babylonian	ir_cardukoi	kindred	ir_east_levantine_g	ir_east_levantine_g	same_group_kindred	ir_east_levantine_g.txt
ir_babylonian	ir_nabatean	positive	ir_east_levantine_g	ir_south_levantine_g	group_positive	ir_east_levantine_g.txt
ir_babylonian	ir_phoenician	positive	ir_east_levantine_g	ir_west_levantine_g	group_positive	ir_east_levantine_g.txt
ir_babylonian	ir_pubu	positive	ir_east_levantine_g	ir_pu_g	group_positive	ir_east_levantine_g.txt
ir_bactrian	ir_agathyrsian	positive	ir_bactrian_g	ir_scythian_east_g	group_positive	ir_bactrian_g.txt
ir_bactrian	ir_amardian	positive	ir_bactrian_g	ir_persia_g	group_positive	ir_bactrian_g.txt
ir_bactrian	ir_avanti	positive	ir_bactrian_g	ir_aryan_g	group_positive	ir_bactrian_g.txt
ir_bactrian	ir_margian	kindred	ir_bactrian_g	ir_bactrian_g	same_group_kindred	ir_bactrian_g.txt
ir_bactrian	ir_yuezhi	kindred	ir_bactrian_g	ir_bactrian_g	same_group_kindred	ir_bactrian_g.txt
